name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Mandya,2023-01-01,30,16.3,22.5,28.9,16.3,22.4,13.6,59.3,0,0,0,,0,0,17.6,14.8,84.3,1017.7,43.5,15.5,251.3,21.7,9,10,2023-01-01 6:43:46,2023-01-01 18:07:53,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43289099999,remote,VOMY"
Mandya,2023-01-02,30,17.1,22.6,28.8,17.1,22.3,12.7,56.8,0,0,0,,0,0,23.8,25.9,86.9,1017.1,68.9,17,242.4,20.8,8,10,2023-01-02 6:44:09,2023-01-02 18:08:26,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43289099999,43291099999,remote,VOMY"
Mandya,2023-01-03,29,16.1,22.1,28.8,16.1,22.1,14.5,64.3,0,0,0,,0,0,24.5,20.5,83.4,1017.5,21.2,16.3,256,22.1,9,10,2023-01-03 6:44:31,2023-01-03 18:09:00,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43289099999,remote,VOMY"
Mandya,2023-01-04,29,16.3,21.8,28.5,16.3,21.8,14.9,67.5,0,0,0,,0,0,29.2,25.9,90.1,1016.2,14.9,15.7,256.1,22.2,9,10,2023-01-04 6:44:53,2023-01-04 18:09:34,0.41,Clear,Clear conditions throughout the day.,clear-day,"43289099999,43291099999,remote,VOMY"
Mandya,2023-01-05,29,16,22,28.8,16,22,15.6,69.5,0,0,0,rain,0,0,34.6,27.7,90,1017.1,22.8,15.5,255.4,22,9,10,2023-01-05 6:45:13,2023-01-05 18:10:07,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43289099999,43291099999,remote,VOMY"
Mandya,2023-01-06,29,15.9,21.8,28.5,15.9,21.7,14.8,67.4,0,0,0,,0,0,34.9,25.9,85.7,1017.6,14.1,16.2,254.7,22.1,9,10,2023-01-06 6:45:33,2023-01-06 18:10:41,0.48,Clear,Clear conditions throughout the day.,clear-day,"43289099999,43291099999,remote,VOMY"
Mandya,2023-01-07,29,15.7,21.9,28.8,15.7,21.9,15.6,69.9,0,0,0,,0,0,37.4,22.3,79.8,1017.4,29.5,15.3,251.8,21.6,9,10,2023-01-07 6:45:52,2023-01-07 18:11:15,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"43289099999,43291099999,remote,VOMY,43263099999"
Mandya,2023-01-08,28,16.7,22,28,16.7,22,14.8,65.9,0,0,0,,0,0,22.7,20.5,70.1,1016.1,17.3,14.9,256.8,22.2,9,10,2023-01-08 6:46:10,2023-01-08 18:11:49,0.54,Clear,Clear conditions throughout the day.,clear-day,"43289099999,43291099999,remote,VOMY"
Mandya,2023-01-09,29,15.9,22,28.5,15.9,21.9,13.2,61,0,0,0,,0,0,25.6,14.8,68.6,1017.1,6.8,15.1,262.8,22.8,9,10,2023-01-09 6:46:27,2023-01-09 18:12:22,0.58,Clear,Clear conditions throughout the day.,clear-day,"43289099999,43291099999,remote,VOMY"
Mandya,2023-01-10,30,13.4,20.9,28.8,13.4,20.7,10.6,54.6,0,0,0,,0,0,28.4,18.4,56.8,1017,16.9,14.9,269.7,23.2,9,10,2023-01-10 6:46:43,2023-01-10 18:12:56,0.61,Clear,Clear conditions throughout the day.,clear-day,"43289099999,43291099999,remote,VOMY"
Mandya,2023-01-11,30,13.9,21.2,28.3,13.9,20.9,10.1,54.6,0,0,0,,0,0,23.4,18.4,66.9,1015.4,5.6,16.9,271,23.4,9,10,2023-01-11 6:46:58,2023-01-11 18:13:29,0.64,Clear,Clear conditions throughout the day.,clear-day,"43289099999,43291099999,remote,VOMY"
Mandya,2023-01-12,30,13.6,21.3,28.5,13.6,21.1,8.2,44.9,0,0,0,,0,0,14.4,14.8,71.3,1014.6,41.9,15.8,270.3,23.3,9,10,2023-01-12 6:47:12,2023-01-12 18:14:03,0.68,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"remote,VOMY,43263099999"
Mandya,2023-01-13,29,14.8,21.1,27.9,14.8,20.9,9.1,48.1,0,0,0,,0,0,13.3,14.8,86.3,1014.7,96,15.3,222.8,19.2,8,10,2023-01-13 6:47:25,2023-01-13 18:14:36,0.71,Overcast,Cloudy skies throughout the day.,cloudy,"43289099999,43291099999,remote,VOMY,43263099999"
